-1,RootNode
1,Deer_001_rig
2,Root
3,spine.003
4,shoulder.R
5,thigh.R
6,shin.R
7,foot.R
8,toe.R
9,spine.002
10,spine.001
11,spine
12,spine.004
13,spine.005
14,front_shoulder.R
15,front_thigh.R
16,front_shin.R
17,front_foot.R
18,front_toe.R
19,spine.006
20,spine.007
21,spine.008
22,scull
23,ear.R
24,ear.L
25,front_shoulder.L
26,front_thigh.L
27,front_shin.L
28,front_foot.L
29,front_toe.L
30,shoulder.L
31,thigh.L
32,shin.L
33,foot.L
34,toe.L
35,Deer_001

-0.084149,0.646711,0.095507,5.000000,6.000000,12.000000,15.000000,0.407377,0.273959,0.190209,0.128454
-0.152430,0.709338,0.111613,5.000000,6.000000,12.000000,3.000000,0.453498,0.307831,0.127112,0.111559
-0.042661,0.613074,0.218959,6.000000,5.000000,31.000000,12.000000,0.435200,0.413559,0.106561,0.044679
-0.090423,1.471317,-0.621102,23.000000,22.000000,21.000000,20.000000,0.718591,0.153400,0.125234,0.002776
-0.106498,1.489357,-0.644385,23.000000,22.000000,21.000000,0.000000,0.739294,0.153363,0.107343,0.000000
-0.077173,1.473948,-0.671854,22.000000,21.000000,23.000000,20.000000,0.528889,0.338930,0.130782,0.001399
-0.050456,1.460686,-0.635478,22.000000,21.000000,23.000000,20.000000,0.509442,0.410301,0.068665,0.011592
-0.315850,1.707213,-0.808397,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.325553,1.734664,-0.839554,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.353450,1.765374,-0.817251,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.315850,1.707213,-0.808397,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.353450,1.765374,-0.817251,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.374405,1.833115,-0.806851,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.133737,1.619526,-0.735279,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.140913,1.610305,-0.713763,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.153126,1.658119,-0.767472,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.181202,1.681618,-0.485149,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.166077,1.701748,-0.399242,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.167349,1.722894,-0.393013,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.185292,0.853464,0.406792,4.000000,5.000000,9.000000,3.000000,0.480106,0.388020,0.078781,0.053093
-0.144833,0.953551,0.402861,4.000000,9.000000,5.000000,3.000000,0.477530,0.284701,0.122172,0.115597
-0.068896,0.927660,0.506951,9.000000,4.000000,5.000000,10.000000,0.534914,0.297670,0.124925,0.042491
-0.096663,0.825997,0.523920,5.000000,4.000000,9.000000,31.000000,0.360660,0.326470,0.218776,0.094093
-0.056425,1.397272,-0.740983,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.028410,1.406540,-0.751806,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.048077,1.455422,-0.733504,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.076596,1.450239,-0.721531,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.266471,1.610633,-0.752857,22.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
