-1,RootNode
1,Pinguin_001_rig
2,Root
3,spine.002
4,thigh.R
5,shin.R
6,foot.R
7,spine.001
8,spine
9,spine.003
10,spine.004
11,fin.R
12,fin.001.R
13,fin.002.R
14,spine.005
15,scull
16,fin.L
17,fin.001.L
18,fin.002.L
19,thigh.L
20,shin.L
21,foot.L
22,Pinguin_001

-0.031937,1.277640,-0.031042,15.000000,14.000000,0.000000,0.000000,0.962299,0.037701,0.000000,0.000000
-0.031996,1.267146,-0.119209,15.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.000000,1.273337,-0.120264,15.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.000000,1.283632,-0.029600,15.000000,14.000000,0.000000,0.000000,0.965325,0.034675,0.000000,0.000000
-0.069669,0.000356,-0.078849,6.000000,5.000000,20.000000,21.000000,0.835568,0.146668,0.014082,0.003682
-0.108203,0.000391,-0.136409,6.000000,5.000000,20.000000,0.000000,0.968025,0.030831,0.001144,0.000000
-0.149027,0.000302,-0.136044,6.000000,5.000000,0.000000,0.000000,0.974593,0.025407,0.000000,0.000000
-0.161763,0.000195,-0.081895,6.000000,5.000000,20.000000,0.000000,0.925116,0.073859,0.001026,0.000000
-0.278150,0.345024,0.000778,13.000000,12.000000,0.000000,0.000000,0.997535,0.002465,0.000000,0.000000
-0.280087,0.263747,-0.032521,13.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.290302,0.268154,-0.039810,13.000000,3.000000,0.000000,0.000000,0.994159,0.005841,0.000000,0.000000
-0.289666,0.350590,-0.014628,13.000000,3.000000,12.000000,0.000000,0.980927,0.016520,0.002554,0.000000
-0.056647,0.026708,0.017979,6.000000,5.000000,20.000000,21.000000,0.685430,0.228392,0.057045,0.029133
-0.038321,0.026210,0.153337,6.000000,5.000000,20.000000,21.000000,0.428091,0.420535,0.111961,0.039413
-0.000000,0.026210,0.155719,5.000000,20.000000,21.000000,6.000000,0.308638,0.308638,0.191362,0.191362
