[ANIM_META]
AnimIndex,Name,mDuration_ticks,mTicksPerSecond,FrameCount,Duration_sec
0,mixamo.com,107.0000,24.0000,108,4.458333

[RAW_KEYS] AnimIndex=0
Channel,KeyType,KeyIndex,mTime_ticks
mixamorig:Head,ROT,51,-0.000000
mixamorig:Head,ROT,52,39.000000
mixamorig:Head,ROT,53,-inf
mixamorig:Head,ROT,54,0.000000
mixamorig:Head,ROT,55,-0.000000
mixamorig:Head,ROT,56,42.000000
mixamorig:Head,ROT,57,-inf
mixamorig:Head,ROT,58,0.000000
mixamorig:Head,ROT,59,-0.000000
mixamorig:Head,ROT,60,45.000000
mixamorig:Head,ROT,61,-inf
mixamorig:Head,ROT,62,0.000000
mixamorig:Head,ROT,63,0.000000
mixamorig:Head,ROT,64,48.000000
mixamorig:Head,ROT,65,-inf
mixamorig:Head,ROT,66,-0.000000
mixamorig:Head,ROT,67,-0.000000
mixamorig:Head,ROT,68,51.000000
mixamorig:Head,ROT,69,-inf
mixamorig:Head,ROT,70,0.000000
mixamorig:Head,ROT,71,0.000000
mixamorig:Head,ROT,72,54.000000
mixamorig:Head,ROT,73,-inf
mixamorig:Head,ROT,74,0.000000
mixamorig:Head,ROT,75,0.000000
mixamorig:Head,ROT,76,57.000000
mixamorig:Head,ROT,77,-inf
mixamorig:Head,ROT,78,0.000000
mixamorig:Head,ROT,79,0.000000
mixamorig:Head,ROT,80,60.000000
mixamorig:Head,ROT,81,-inf
mixamorig:Head,ROT,82,-0.000000
mixamorig:Head,ROT,83,0.000000
mixamorig:Head,ROT,84,63.000000
mixamorig:Head,ROT,85,-inf
mixamorig:Head,ROT,86,-0.000000
mixamorig:Head,ROT,87,0.000000
mixamorig:Head,ROT,88,66.000000
mixamorig:Head,ROT,89,-inf
mixamorig:Head,ROT,90,-0.000000
mixamorig:Head,ROT,91,0.000000
mixamorig:Head,ROT,92,69.000000
mixamorig:Head,ROT,93,-inf
mixamorig:Head,ROT,94,0.000000
mixamorig:Head,ROT,95,0.000000
mixamorig:Head,ROT,96,72.000000
mixamorig:Head,ROT,97,-inf
mixamorig:Head,ROT,98,0.000000
mixamorig:Head,ROT,99,0.000000
mixamorig:Head,ROT,100,75.000000
mixamorig:Head,ROT,101,-inf
mixamorig:Head,ROT,102,0.000000
mixamorig:Head,ROT,103,0.000000
mixamorig:Head,ROT,104,78.000000
mixamorig:Head,ROT,105,-inf
mixamorig:Head,ROT,106,0.000000
mixamorig:Head,ROT,107,0.000000
mixamorig:Head,SCL,0,0.000000
mixamorig:Head,SCL,1,1.000000
mixamorig:Head,SCL,2,2.000000
mixamorig:Head,SCL,3,3.000000
mixamorig:Head,SCL,4,4.000000
mixamorig:Head,SCL,5,5.000000
mixamorig:Head,SCL,6,6.000000
mixamorig:Head,SCL,7,7.000000
mixamorig:Head,SCL,8,8.000000
mixamorig:Head,SCL,9,9.000000
mixamorig:Head,SCL,10,10.000000
mixamorig:Head,SCL,11,11.000000
mixamorig:Head,SCL,12,12.000000
mixamorig:Head,SCL,13,13.000000
mixamorig:Head,SCL,14,14.000000
mixamorig:Head,SCL,15,15.000000
mixamorig:Head,SCL,16,16.000000
mixamorig:Head,SCL,17,17.000000
mixamorig:Head,SCL,18,18.000000
mixamorig:Head,SCL,19,19.000000
mixamorig:Head,SCL,20,20.000000
mixamorig:Head,SCL,21,21.000000
mixamorig:Head,SCL,22,22.000000
mixamorig:Head,SCL,23,23.000000
mixamorig:Head,SCL,24,24.000000
mixamorig:Head,SCL,25,25.000000
mixamorig:Head,SCL,26,26.000000
mixamorig:Head,SCL,27,27.000000
mixamorig:Head,SCL,28,28.000000
mixamorig:Head,SCL,29,29.000000
mixamorig:Head,SCL,30,30.000000
mixamorig:Head,SCL,31,31.000000
mixamorig:Head,SCL,32,32.000000
mixamorig:Head,SCL,33,33.000000
mixamorig:Head,SCL,34,34.000000
mixamorig:Head,SCL,35,35.000000
mixamorig:Head,SCL,36,36.000000
mixamorig:Head,SCL,37,37.000000
mixamorig:Head,SCL,38,38.000000
mixamorig:Head,SCL,39,39.000000
mixamorig:Head,SCL,40,40.000000
mixamorig:Head,SCL,41,41.000000
mixamorig:Head,SCL,42,42.000000
mixamorig:Head,SCL,43,43.000000
mixamorig:Head,SCL,44,44.000000
mixamorig:Head,SCL,45,45.000000
mixamorig:Head,SCL,46,46.000000
mixamorig:Head,SCL,47,47.000000
mixamorig:Head,SCL,48,48.000000
mixamorig:Head,SCL,49,49.000000
mixamorig:Head,SCL,50,50.000000
mixamorig:Head,SCL,51,51.000000
mixamorig:Head,SCL,52,52.000000
mixamorig:Head,SCL,53,53.000000
mixamorig:Head,SCL,54,54.000000
mixamorig:Head,SCL,55,55.000000
mixamorig:Head,SCL,56,56.000000
mixamorig:Head,SCL,57,57.000000
mixamorig:Head,SCL,58,58.000000
mixamorig:Head,SCL,59,59.000000
mixamorig:Head,SCL,60,60.000000
mixamorig:Head,SCL,61,61.000000
mixamorig:Head,SCL,62,62.000000
mixamorig:Head,SCL,63,63.000000
mixamorig:Head,SCL,64,64.000000
mixamorig:Head,SCL,65,65.000000
mixamorig:Head,SCL,66,66.000000
mixamorig:Head,SCL,67,67.000000
mixamorig:Head,SCL,68,68.000000
mixamorig:Head,SCL,69,69.000000
mixamorig:Head,SCL,70,70.000000
mixamorig:Head,SCL,71,71.000000
mixamorig:Head,SCL,72,72.000000
mixamorig:Head,SCL,73,73.000000
mixamorig:Head,SCL,74,74.000000
mixamorig:Head,SCL,75,75.000000
mixamorig:Head,SCL,76,76.000000
mixamorig:Head,SCL,77,77.000000
mixamorig:Head,SCL,78,78.000000
mixamorig:Head,SCL,79,79.000000
mixamorig:Head,SCL,80,80.000000
mixamorig:Head,SCL,81,81.000000
mixamorig:Head,SCL,82,82.000000
mixamorig:Head,SCL,83,83.000000
mixamorig:Head,SCL,84,84.000000
mixamorig:Head,SCL,85,85.000000
mixamorig:Head,SCL,86,86.000000
mixamorig:Head,SCL,87,87.000000
mixamorig:Head,SCL,88,88.000000
mixamorig:Head,SCL,89,89.000000
mixamorig:Head,SCL,90,90.000000
mixamorig:Head,SCL,91,91.000000
mixamorig:Head,SCL,92,92.000000
mixamorig:Head,SCL,93,93.000000
mixamorig:Head,SCL,94,94.000000
mixamorig:Head,SCL,95,95.000000
mixamorig:Head,SCL,96,96.000000
mixamorig:Head,SCL,97,97.000000
mixamorig:Head,SCL,98,98.000000
mixamorig:Head,SCL,99,99.000000
mixamorig:Head,SCL,100,100.000000
mixamorig:Head,SCL,101,101.000000
