[ANIM_META]
AnimIndex,Name,mDuration_ticks,mTicksPerSecond,FrameCount,Duration_sec
0,mixamo.com,24.0000,24.0000,25,1.000000

[RAW_KEYS] AnimIndex=0
Channel,KeyType,KeyIndex,mTime_ticks
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,0,0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,1,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,2,-0.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,3,-0.000433
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,4,0.400000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,5,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,6,-0.000001
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,7,-0.000420
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,8,0.700000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,9,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,10,-0.000002
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,11,-0.000403
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,12,1.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,13,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,14,-0.000004
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,15,-0.000383
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,16,1.500000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,17,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,18,-0.000005
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,19,-0.000367
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,20,1.800000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,21,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,22,-0.000006
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,23,-0.000313
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,24,2.100000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,25,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,26,-0.000008
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,27,-0.000216
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,28,2.400000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,29,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,30,-0.000013
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,31,-0.000124
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,32,2.700000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,33,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,34,-0.000017
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,35,-0.000074
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,36,3.000000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,37,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,38,-0.000014
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,39,-0.000047
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,40,3.300000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,41,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,42,-0.000009
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,43,-0.000028
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,44,3.600000
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,45,-inf
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,46,-0.000004
mixamorig:LeftArm_$AssimpFbx$_Rotation,ROT,47,-0.000012
